CHEBI:66659	MESH:C530785
CHEBI:65634	MESH:C504253
CHEBI:7988	MESH:C035121
CHEBI:53472	MESH:C028419
CHEBI:35175	MESH:D013431
CHEBI:3469	MESH:C017836
CHEBI:4316	MESH:C104098
CHEBI:68246	MESH:C530506
CHEBI:33093	MESH:C021274
CHEBI:78541	MESH:C454821
CHEBI:135679	MESH:C047340
CHEBI:6550	MESH:C039993
CHEBI:73828	MESH:C038676
CHEBI:66667	MESH:C078290
CHEBI:16992	MESH:C027028
CHEBI:31716	MESH:C014617
CHEBI:31492	MESH:C001002
CHEBI:16164	MESH:D011748
CHEBI:53037	MESH:C408365
CHEBI:1230	MESH:C003328
CHEBI:87494	MESH:C089549
CHEBI:82321	MESH:D003962
CHEBI:92658	MESH:C119620
CHEBI:80631	MESH:C018108
CHEBI:76987	MESH:C026137
CHEBI:4928	MESH:C017306
CHEBI:61864	MESH:C488538
CHEBI:82715	MESH:C542398
CHEBI:82301	MESH:C015060
CHEBI:70407	MESH:C554261
CHEBI:10058	MESH:C022186
CHEBI:143303	MESH:C071881
CHEBI:3461	MESH:C073064
CHEBI:52153	MESH:C007369
CHEBI:28727	MESH:C050413
CHEBI:89255	MESH:C037623
CHEBI:17293	MESH:C005512
CHEBI:74104	MESH:C107248
CHEBI:17553	MESH:C005448
CHEBI:95347	MESH:C001326
CHEBI:73357	MESH:C045444
CHEBI:74872	MESH:C024164
CHEBI:48045	MESH:C475865
CHEBI:47780	MESH:D002997
CHEBI:16542	MESH:C013249
CHEBI:78399	MESH:C025383
CHEBI:1879	MESH:C011867
CHEBI:34747	MESH:C001398
CHEBI:26830	MESH:D013452
CHEBI:37391	MESH:C038072
CHEBI:17268	MESH:D007294
CHEBI:9119	MESH:C009244
CHEBI:9466	MESH:D043343
CHEBI:84361	MESH:C433384
CHEBI:18721	MESH:D000517
CHEBI:70777	MESH:C461139
CHEBI:16234	MESH:C031356
CHEBI:91409	MESH:C550356
CHEBI:60281	MESH:C001020
CHEBI:73773	MESH:C013646
CHEBI:17688	MESH:D009538
CHEBI:65698	MESH:C408301
CHEBI:17148	MESH:D011700
CHEBI:2268	MESH:C429845
CHEBI:65495	MESH:C513996
CHEBI:60210	MESH:C549445
CHEBI:17100	MESH:C018458
CHEBI:62827	MESH:C037094
CHEBI:68861	MESH:C119402
CHEBI:5098	MESH:D005436
CHEBI:80053	MESH:C428166
CHEBI:71940	MESH:D000068581
CHEBI:27500	MESH:C100016
CHEBI:124924	MESH:C562047
CHEBI:17433	MESH:C019549
CHEBI:81471	MESH:C003587
CHEBI:68232	MESH:C027820
CHEBI:3078	MESH:C028994
CHEBI:33031	MESH:C011727
